DATE PLACED,TICKET#,WAGER TYPE,GAME DATE,SPORT,DESCRIPTION,STATUS,CASHOUT,RISK/WIN,TOTAL
Jan-30-2023 11:16 PM,446084596,STRAIGHT BET,[Feb-06-2023 12:01 AM] ,ODDS TO WIN [801013] HOUSTON ASTROS +550,[TNT] - MLB - 2023 WORLD SERIES,Pending,,$50/$275,$100 /$725
Jan-30-2023 11:16 PM,446084595,STRAIGHT BET,[Feb-06-2023 12:01 AM] ,ODDS TO WIN [801004] ATLANTA BRAVES +900,[TNT] - MLB - 2023 WORLD SERIES,Pending,,$50/$450,$100 /$725
